文章名称,发布时间,对应链接
【分测中心】【党史学习教育】分测中心党支部开展专题党课学习 ,2021-06-10 ,http://news.njfu.edu.cn/ybdt/20210610/i223437.html
【生物院】生物院举办“演人生望远，讲民德归厚”演讲比赛 ,2021-06-10 ,http://news.njfu.edu.cn/ybdt/20210610/i223434.html
【人文院】人文院举办学生骨干心理健康教育培训活动 ,2021-06-10 ,http://news.njfu.edu.cn/ybdt/20210610/i223404.html
【化工院】化工院开展“小信诚大信立”主题教育月系列活动 ,2021-06-09 ,http://news.njfu.edu.cn/ybdt/20210609/i223350.html
【图书馆】“三星级职工小家”授牌仪式在图书馆举行 ,2021-06-08 ,http://news.njfu.edu.cn/ybdt/20210609/i223321.html
【后勤处】【党史学习教育】后勤党工委组织党员开展党史学习教育“行走课堂”活动 ,2021-06-07 ,http://news.njfu.edu.cn/ybdt/20210607/i223251.html
【生物院】生物院赴高淳特殊教育学校参加联谊活动 ,2021-06-07 ,http://news.njfu.edu.cn/ybdt/20210607/i223221.html
【人文院】【党史学习教育】广播电视学专业开展系列红色课程实习 ,2021-06-07 ,http://news.njfu.edu.cn/ybdt/20210607/i223219.html
【教务处】【党史学习教育】教务处组织开展“我为师生办实事”活动 ,2021-06-05 ,http://news.njfu.edu.cn/ybdt/20210605/i223082.html
【土木院】【党史学习教育】土木机电两院联合安装直饮水设施 ,2021-06-05 ,http://news.njfu.edu.cn/ybdt/20210605/i223083.html
【艺术院】我校举办2021届艺术设计毕业作品展 ,2021-06-05 ,http://news.njfu.edu.cn/ybdt/20210605/i223081.html
【期刊部】我校2份期刊微信公众号获“十佳微信公众号”称号 ,2021-06-04 ,http://news.njfu.edu.cn/ybdt/20210604/i223078.html
【网信办】【党史学习教育】校办联合党支部开展专题党课 ,2021-06-04 ,http://news.njfu.edu.cn/ybdt/20210604/i223076.html
【经管院】经管院举办课程思政研讨会 ,2021-06-04 ,http://news.njfu.edu.cn/ybdt/20210604/i223074.html
【经管院】【党史学习教育】经管院开展赴周恩来纪念馆开展主题党日活动 ,2021-06-04 ,http://news.njfu.edu.cn/ybdt/20210604/i223073.html
【离退休处】【党史学习教育】离退休处举办纪念建党100周年插花艺术展 ,2021-06-04 ,http://news.njfu.edu.cn/ybdt/20210604/i223072.html
【土木院】土木院举办“金融、征信、防诈骗”知识竞赛 ,2021-06-03 ,http://news.njfu.edu.cn/ybdt/20210603/i222921.html
【经管院】【党史学习教育】经管院赴周恩来干部学院开展党史学习教育 ,2021-06-03 ,http://news.njfu.edu.cn/ybdt/20210603/i222919.html
【淮安校区】【党史学习教育】淮安校区举办“红色系列活动”作品集中展演 ,2021-06-03 ,http://news.njfu.edu.cn/ybdt/20210603/i222918.html
【学工处】公寓管理服务中心为宿舍管理员办专场晚会 ,2021-06-02 ,http://news.njfu.edu.cn/ybdt/20210603/i222845.html
【国教院】留学生体验“草木染” 多彩实践课感受中国文化 ,2021-06-02 ,http://news.njfu.edu.cn/ybdt/20210603/i222844.html
【理学院】理学院赴无锡参加“优质生源基地”签约授牌仪式 ,2021-06-01 ,http://news.njfu.edu.cn/ybdt/20210603/i222841.html
【外语院】我校第一届“彩虹桥杯”英语演讲比赛圆满落幕 ,2021-06-01 ,http://news.njfu.edu.cn/ybdt/20210603/i222840.html
【园林院】【党史学习教育】风景园林学院赴溧阳和马鞍山开展党史学习教育 ,2021-06-01 ,http://news.njfu.edu.cn/ybdt/20210603/i222832.html
【人文院】【党史学习教育】人文院开展党史学习教育专题讲座 ,2021-05-31 ,http://news.njfu.edu.cn/ybdt/20210603/i222830.html
【理学院】【党史学习教育】理学院赴溧阳开展主题党日活动 ,2021-05-29 ,http://news.njfu.edu.cn/ybdt/20210603/i222827.html
【艺术院】艺术设计学院举办心理健康日特色活动 ,2021-05-28 ,http://news.njfu.edu.cn/ybdt/20210603/i222821.html
【化工院】【党史学习教育】化工院赴井冈山开展党史学习教育 ,2021-05-27 ,http://news.njfu.edu.cn/ybdt/20210603/i222817.html
【外语院】【党史学习教育】外语院举办“红色之声，再叙经典”配音大赛 ,2021-05-27 ,http://news.njfu.edu.cn/ybdt/20210603/i222812.html
【外语院】【党史学习教育】外国语学院赴扬州开展主题党日活动 ,2021-05-27 ,http://news.njfu.edu.cn/ybdt/20210603/i222766.html
【土木院】【党史学习教育】土木院开展师生共唱红色经典歌曲活动 ,2021-05-27 ,http://news.njfu.edu.cn/ybdt/20210531/i222631.html
【继教院】【党史学习教育】继续教育学院组织教职工观看红色电影 ,2021-05-26 ,http://news.njfu.edu.cn/ybdt/20210526/i220686.html
【期刊部】【党史学习教育】期刊部党支部赴高邮开展党史学习教育 ,2021-05-26 ,http://news.njfu.edu.cn/ybdt/20210526/i220685.html
【人文院】人文社会科学学院举办“我的舞台，我的秀”活动 ,2021-05-26 ,http://news.njfu.edu.cn/ybdt/20210526/i220684.html
【学工处】我校2021届毕业生春季招聘会成功举办 ,2021-05-24 ,http://news.njfu.edu.cn/ybdt/20210525/i220593.html
【后勤处】【党史学习教育】后勤党工委组织参观“红色丰碑 文脉千载”艺术展 ,2021-05-24 ,http://news.njfu.edu.cn/ybdt/20210525/i220590.html
【财务处】【党史学习教育】财务处开展“财务走访，政策巡讲”系列宣讲活动 ,2021-05-24 ,http://news.njfu.edu.cn/ybdt/20210525/i220589.html
【机电院】【党史学习教育】机电院举办“学习百年党史，传承红色基因”主题党课 ,2021-05-21 ,http://news.njfu.edu.cn/ybdt/20210525/i220575.html
【离退休处】【党史学习教育】学党史 办实事——离退休处举办“民法典时代老年人的权益保... ,2021-05-25 ,http://news.njfu.edu.cn/ybdt/20210525/i220573.html
【淮安校区】【党史学习教育】淮安校区开展法治宣传教育活动 ,2021-05-21 ,http://news.njfu.edu.cn/ybdt/20210525/i220572.html
【家居院】【党史学习教育】家居院举办“接红歌、赛党史”党日活动 ,2021-05-20 ,http://news.njfu.edu.cn/ybdt/20210525/i220570.html
【淮安校区】【党史学习教育】淮安校区党工委开展“学党史、感党恩、跟党走”主题党日活动 ,2021-05-20 ,http://news.njfu.edu.cn/ybdt/20210525/i220569.html
【机关党委】【党史学习教育】机关党委赴行知园开展党史学习教育主题活动 ,2021-05-19 ,http://news.njfu.edu.cn/ybdt/20210525/i220567.html
【化工院】【党史学习教育】化工院举办《中国共产党百年历史及经验启示》专题报告会 ,2021-05-19 ,http://news.njfu.edu.cn/ybdt/20210525/i220564.html
【图书馆】【党史学习教育】图书馆党支部赴溧水李巷开展主题党日活动 ,2021-05-19 ,http://news.njfu.edu.cn/ybdt/20210525/i220560.html
【理学院】【党史学习教育】理学院赴南京抗日航空烈士纪念馆开展主题党日活动 ,2021-05-13 ,http://news.njfu.edu.cn/ybdt/20210517/i217531.html
【校工会】【党史学习教育】校工会开展“重温工运历史 传承红色基因”党史学习教育活动 ,2021-05-13 ,http://news.njfu.edu.cn/ybdt/20210603/i222877.html
【机电院】【党史学习教育】机电院举办红色故事分享会 ,2021-05-12 ,http://news.njfu.edu.cn/ybdt/20210517/i217526.html
【竹类所】【党史学习教育】竹类研究所举办党史学习教育宣讲会 ,2021-05-12 ,http://news.njfu.edu.cn/ybdt/20210517/i217446.html
【机关党委】【党史学习教育】机关党委开展“学党史 守初心 强作风 比贡献”主题党日活... ,2021-05-11 ,http://news.njfu.edu.cn/ybdt/20210517/i217520.html
【继教院】【党史学习教育】继续教育学院直属党支部举办“学党史，颂党恩”红色经典诵读比... ,2021-05-08 ,http://news.njfu.edu.cn/ybdt/20210517/i217516.html
【人文院】【党史学习教育】人文院举行“学史崇德 聆听红色故事 赓续精神血脉”主题学习... ,2021-05-08 ,http://news.njfu.edu.cn/ybdt/20210517/i217512.html
【艺术院】艺术设计学院开展“春林·艺影”系列创意摄影活动 ,2021-05-08 ,http://news.njfu.edu.cn/ybdt/20210517/i217508.html
【校工会】【党史学习教育】女高知联谊会赴溧阳开展党史学习教育主题党日活动 ,2021-05-07 ,http://news.njfu.edu.cn/ybdt/20210517/i217504.html
【网信办】【党史学习教育】校办联合支部赴王荷波纪念馆和中国电信未来信息馆开展党日活动 ,2021-05-07 ,http://news.njfu.edu.cn/ybdt/20210517/i217499.html
【党委办公室】【党史学习教育】党办统战党支部、组织部党校党支部赴梅园新村开展专题党日... ,2021-05-07 ,http://news.njfu.edu.cn/ybdt/20210517/i217495.html
【离退休处】【党史学习教育】离退休处开展“赓续红色基因，重温红色记忆”主题党日活动 ,2021-05-01 ,http://news.njfu.edu.cn/ybdt/20210517/i217492.html
【人文院】人文院“文化益农”团队赴溧水寻访调研 ,2021-05-01 ,http://news.njfu.edu.cn/ybdt/20210517/i217488.html
【机电院】机电院举办“学习强国，机械报国”专业学习分享会 ,2021-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i217484.html
【机电院】【党史学习教育】机械电子工程学院全体学生党员同上党课 ,2021-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i217480.html
【机电院】机电院举办“立足自己，帮助他人”心理健康培训会 ,2021-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i217475.html
【土木院】【党史学习教育】土木院组织师生集体观看党史学习教育微纪录片 ,2021-04-30 ,http://news.njfu.edu.cn/ybdt/20210517/i217471.html
【生物院】【党史学习教育】生物院举办“品读经典，传承红色精神”读书分享会 ,2021-04-29 ,http://news.njfu.edu.cn/ybdt/20210517/i217467.html
【图书馆】【党史学习教育】图书馆党支部赴淮安校区开展调研活动 ,2021-04-29 ,http://news.njfu.edu.cn/ybdt/20210517/i217462.html
【机电院】【党史学习教育】机电院党委赴红色李巷开展主题党日活动 ,2021-04-28 ,http://news.njfu.edu.cn/ybdt/20210517/i217454.html
【后勤处】【党史学习教育】后勤党工委扎实推进党史学习教育工作 ,2021-04-28 ,http://news.njfu.edu.cn/ybdt/20210517/i217449.html
【教务处】【党史学习教育】教务处党支部开展“学习百年党史，践行初心使命”主题党日活动 ,2021-04-28 ,http://news.njfu.edu.cn/ybdt/20210517/i217443.html
【交通院】【党史学习教育】汽车与交通工程学院赴南汽集团开展党史学习交流与支部共建活动 ,2021-04-28 ,http://news.njfu.edu.cn/ybdt/20210517/i217440.html
【人文院】【党史学习教育】人文社会科学学院开展“学思行”党史学习教育大课堂活动 ,2021-04-27 ,http://news.njfu.edu.cn/ybdt/20210517/i217437.html
【财务处】【党史学习教育】财务联合党支部赴溧水开展主题党日活动 ,2021-04-26 ,http://news.njfu.edu.cn/ybdt/20210517/i217431.html
【图书馆】【党史学习教育】图书馆党支部开展党史学习教育 ,2021-04-26 ,http://news.njfu.edu.cn/ybdt/20210517/i217428.html
【人事处】【党史学习教育】人事处党支部赴雨花台烈士陵园开展党史学习教育 ,2021-04-26 ,http://news.njfu.edu.cn/ybdt/20210517/i217425.html
【学工处】【党史学习教育】我校全体辅导员赴溧阳开展党史学习教育 ,2021-04-26 ,http://news.njfu.edu.cn/ybdt/20210517/i217422.html
【生物院】生物与环境学院举行藏族学生就业助学座谈会 ,2021-04-25 ,http://news.njfu.edu.cn/ybdt/20210517/i217418.html
【土木院】土木工程学院召开党风廉政建设专题报告会 ,2021-04-25 ,http://news.njfu.edu.cn/ybdt/20210517/i217416.html
【学工处】我校举办防范电信网络诈骗工作推进会 ,2021-04-24 ,http://news.njfu.edu.cn/ybdt/20210517/i217413.html
【图书馆】【党史学习教育】图书馆开展党史学习教育集中学习研讨会 ,2021-04-22 ,http://news.njfu.edu.cn/ybdt/20210517/i217341.html
【期刊部】【党史学习教育】期刊部党支部赴扬州开展主题党日活动 ,2021-04-22 ,http://news.njfu.edu.cn/ybdt/20210517/i217347.html
【分测中心】【党史学习教育】现代分析测试中心党支部赴句容开展主题党日活动 ,2021-04-22 ,http://news.njfu.edu.cn/ybdt/20210517/i217355.html
【化工院】我校举办2021届化工类专场招聘会 ,2021-04-22 ,http://news.njfu.edu.cn/ybdt/20210517/i217411.html
【化工院】【党史学习教育】化工院组织开展“寻红色足迹，悟红船精神”主题党日活动 ,2021-04-21 ,http://news.njfu.edu.cn/ybdt/20210517/i217407.html
【化工院】【党史学习教育】化学工程学院召开党委理论学习中心组集体学习会 ,2021-04-21 ,http://news.njfu.edu.cn/ybdt/20210517/i217405.html
【学工处】我校第十七届大学生心理健康节开幕 ,2021-04-20 ,http://news.njfu.edu.cn/ybdt/20210517/i217402.html
【生物院】【党史学习教育】生物院赴雨花台开展“缅怀先烈 坚定信仰”主题党日活动 ,2021-04-16 ,http://news.njfu.edu.cn/ybdt/20210517/i217394.html
【生物院】【党史学习教育】生物与环境学院开展“缅怀革命先烈、传承红色基因”党史学习教... ,2021-04-15 ,http://news.njfu.edu.cn/ybdt/20210517/i217391.html
【学工处】【党史学习教育】我校全体学工干部赴高邮开展党史学习教育 ,2021-04-14 ,http://news.njfu.edu.cn/ybdt/20210517/i217389.html
【土木院】【党史学习教育】土木院开展“探寻红色足迹，铭记光辉历史”党史学习教育 ,2021-04-14 ,http://news.njfu.edu.cn/ybdt/20210517/i217387.html
【保卫处】【党史学习教育】保卫部党支部开展“传承红色基因 赓续恩来血脉”主题党日活动 ,2021-04-14 ,http://news.njfu.edu.cn/ybdt/20210517/i217385.html
【统战部】民建南林大支部考察我校溧水白马校区 ,2021-04-13 ,http://news.njfu.edu.cn/ybdt/20210517/i217381.html
【轻工院】【党史学习教育】轻工院举办“回首百年经典，唱响人民之声”主题党课 ,2021-04-13 ,http://news.njfu.edu.cn/ybdt/20210517/i217383.html
【家居院】【党史学习教育】家居院与材料院联合举办特色党日活动 ,2021-04-12 ,http://news.njfu.edu.cn/ybdt/20210517/i217379.html
【宣传部】【党史学习教育】宣传部、教师工作部党支部赴高邮开展党史学习教育 ,2021-04-12 ,http://news.njfu.edu.cn/ybdt/20210517/i217398.html
【家居院】【党史学习教育】家居院举办“与信仰对话”线上名家报告会暨党史专题讲座 ,2021-04-09 ,http://news.njfu.edu.cn/ybdt/20210517/i217373.html
【人文院】【党史学习教育】人文院与外语院联合开展清明祭英烈学党史活动 ,2021-04-09 ,http://news.njfu.edu.cn/ybdt/20210517/i217377.html
【土木院】土木院举办集体生日会暨青年教师交流沙龙 ,2021-04-08 ,http://news.njfu.edu.cn/ybdt/20210517/i217375.html
【交通院】我校与江苏宁沪高速公路股份有限公司举行“江苏省研究生工作站”签约暨揭牌仪式 ,2021-04-08 ,http://news.njfu.edu.cn/ybdt/20210517/i217371.html
【家居院】【党史学习教育】家居院开展党史学习教育主题团课 ,2021-04-06 ,http://news.njfu.edu.cn/ybdt/20210517/i217369.html
【土木院】土木工程学院举办青年教师教学沙龙活动 ,2021-04-02 ,http://news.njfu.edu.cn/ybdt/20210517/i217367.html
【国教院】国教院与金东纸业共建留学生实习基地 ,2021-04-02 ,http://news.njfu.edu.cn/ybdt/20210517/i217365.html
【生物院】生物与环境学院举办“留住春天，守护绿色”干花滴胶活动 ,2021-04-02 ,http://news.njfu.edu.cn/ybdt/20210517/i217363.html
【研工部】【党史学习教育】研究生工作部党支部赴镇江开展主题党日活动 ,2021-04-02 ,http://news.njfu.edu.cn/ybdt/20210517/i217361.html
【材料院】材料科学与工程学院举办“生态文明，你我同行”活动 ,2021-04-01 ,http://news.njfu.edu.cn/ybdt/20210517/i217359.html
【生物院】林学院和生物院联合举办2021届林学与生物环境类专场招聘会 ,2021-03-30 ,http://news.njfu.edu.cn/ybdt/20210517/i217353.html
【期刊部】期刊部举办Scopus数据库申请培训与高水平办刊交流活动 ,2021-03-27 ,http://news.njfu.edu.cn/ybdt/20210517/i217349.html
【人文院】【党史学习教育】人文院赴连云港开展党史学习教育暨校地共建协议签订仪式 ,2021-03-26 ,http://news.njfu.edu.cn/ybdt/20210517/i217351.html
【家居院】家居院2019级专硕班赴紫金山开展环保助力活动 ,2021-03-24 ,http://news.njfu.edu.cn/ybdt/20210517/i217345.html
【土木院】土木工程学院举办“烘焙甜蜜 传递幸福”教职工烘焙活动 ,2021-03-24 ,http://news.njfu.edu.cn/ybdt/20210517/i217337.html
【人文院】广告发展与新闻传播学学科建设论坛在我校召开 ,2021-03-19 ,http://news.njfu.edu.cn/ybdt/20210517/i217334.html
【经管院】我校举办第11期《经济评论》工作坊暨乡村振兴与农林业高质量发展学术研讨会 ,2021-03-16 ,http://news.njfu.edu.cn/ybdt/20210517/i217330.html
【生物院】生物院团委与南京市人民中学团委签订共建协议 ,2021-03-16 ,http://news.njfu.edu.cn/ybdt/20210517/i217324.html
【学工处】我校举行2021年新进辅导员见面会 ,2021-03-11 ,http://news.njfu.edu.cn/ybdt/20210517/i217318.html
【国教院】国际教育学院赴南通调研来华留学生教育管理工作 ,2021-03-11 ,http://news.njfu.edu.cn/ybdt/20210517/i217321.html
【家居院】家居院举行2021年应征入伍新兵欢送会 ,2021-03-09 ,http://news.njfu.edu.cn/ybdt/20210517/i217332.html
【家居院】新学期第一堂“思政课”：雷锋日里敬英雄 ,2021-03-07 ,http://news.njfu.edu.cn/ybdt/20210517/i217312.html
【学工处】我校成立生涯发展和就业指导工作室 ,2021-02-23 ,http://news.njfu.edu.cn/ybdt/20210517/i217315.html
【轻工院】我校举办“福至运来”迎春送福活动 ,2021-01-18 ,http://news.njfu.edu.cn/ybdt/20210517/i217308.html
【国教院】我校课程入选“江苏高校外国留学生英文授课省级精品课程”优秀案例 ,2021-01-13 ,http://news.njfu.edu.cn/ybdt/20210517/i217306.html
【土木院】土木院与中铁建工集团上海分公司南京无线谷项目部共建研究生培养基地 ,2021-01-13 ,http://news.njfu.edu.cn/ybdt/20210517/i217302.html
【学工处】我校思政工作案例在高校辅导员网络学院平台展播 ,2021-01-11 ,http://news.njfu.edu.cn/ybdt/20210517/i217299.html
